,CPU Model,Manufacturer,Socket,Core,Power,Clock Frequency,Cache Size,Score (CPU Mark),Price,,,,,,,,,,,,,,,,,
131,Ryzen TR 1920X,AMD,sTR4,12,180,3.5,32,23111,235,,,,,,,,,,,,,,,,,
132,Core i5-8500,Intel,LGA1151-2,6,65,3,9,9534,89,,,,,,,,,,,,,,,,,
133,Ryzen 9 7900X,AMD,AM5,12,170,4.7,64,51447,335.97,,,,,,,,,,,,,,,,,
134,Core i3-14100F,Intel,LGA1700,4,58,3.5,12,15381,90.05,,,,,,,,,,,,,,,,,
135,Core i5-14500,Intel,LGA1700,14,65,2.6,24,31400,239.27,,,,,,,,,,,,,,,,,
136,Ryzen 3 2200U,AMD,FP5,2,15,2.5,4,3668,0,,,,,,,,,,,,,,,,,
137,Core i7-9750H,Intel,BGA1440,6,45,2.6,12,10705,960,,,,,,,,,,,,,,,,,
138,Ryzen 5 5600H,AMD,FP6,6,35,3,16,16751,0,,,,,,,,,,,,,,,,,
139,Ryzen 7 5800H,AMD,FP6,8,45,3.2,16,20856,0,,,,,,,,,,,,,,,,,
140,Core i7-11700F,Intel,LGA1200,8,65,2.5,16,20768,244.99,,,,,,,,,,,,,,,,,
141,Core i7-3770,Intel,LGA1155,4,77,3.4,8,6416,100.93,,,,,,,,,,,,,,,,,
142,Core i5-11500,Intel,LGA1200,6,65,2.7,12,17195,160,,,,,,,,,,,,,,,,,
143,Ryzen 5 5500,AMD,AM4,6,65,3.6,16,19345,73,,,,,,,,,,,,,,,,,
144,Ryzen 7 9800X3D,AMD,AM5,8,120,4.7,96,40010,399,,,,,,,,,,,,,,,,,
145,Core i7-5930K,Intel,LGA2011-v3,6,140,3.5,15,10356,222.37,,,,,,,,,,,,,,,,,
146,Core i7-11700KF,Intel,LGA1200,8,125,3.6,16,23824,299.99,,,,,,,,,,,,,,,,,
147,Core i7-11700,Intel,LGA1200,8,65,2.5,16,20702,448.49,,,,,,,,,,,,,,,,,
148,Ryzen 7 5700G,AMD,AM4,8,65,3.8,16,24441,148.99,,,,,,,,,,,,,,,,,
149,Core i9-14900KF,Intel,LGA1700,24,125,3.2,36,58728,424.99,,,,,,,,,,,,,,,,,
150,Ryzen 3 3200U,AMD,FP5,2,15,2.6,4,3749,0,,,,,,,,,,,,,,,,,
151,Ryzen 5 4600H,AMD,FP6,6,45,3,8,14282,0,,,,,,,,,,,,,,,,,
152,Ryzen 3 3100,AMD,AM4,4,65,3.6,16,11563,74.99,,,,,,,,,,,,,,,,,
153,Core i5-3570,Intel,LGA1155,4,77,3.4,6,4942,190.22,,,,,,,,,,,,,,,,,
154,Ryzen 5 3500,AMD,AM4,4,15,2.1,4,12792,76.99,,,,,,,,,,,,,,,,,
155,Core i5-1135G7,Intel,BGA1526,4,28,2.4,8,9563,309,,,,,,,,,,,,,,,,,
156,Core i5-4460,Intel,LGA1150,4,84,3.2,6,4908,64.04,,,,,,,,,,,,,,,,,
157,Ryzen 5 3550H,AMD,FP5,4,35,2.1,4,7748,0,,,,,,,,,,,,,,,,,
158,Core i7-11800H,Intel,BGA1787,8,35,1.9,24,20081,395,,,,,,,,,,,,,,,,,
159,FX-8350,AMD,AM3+,8,125,4,8,6084,172.02,,,,,,,,,,,,,,,,,
160,Phenom II X4 965,AMD,AM3,4,125,3.4,6,2661,64.02,,,,,,,,,,,,,,,,,
161,FX-8370,AMD,AM3+,8,125,4,8,6153,252.02,,,,,,,,,,,,,,,,,
162,Core i5-7500,Intel,LGA1151,4,65,3.4,6,5200,35,,,,,,,,,,,,,,,,,
